,x1,x2,x3,x4,x5,x6,y
0,0.983918958,0.983918958,0.983918958,0.983918958,0.983918958,0.983918958,0.126467833
1,0.004620719,0.004620719,0.004620719,0.004620719,0.004620719,0.004620719,4.964476659
2,-0.215604814,-0.215604814,0.026016757,-0.215604814,-0.215447528,-0.215521319,32.69835313
3,-0.720977224,-0.717834681,-0.717103809,-0.715165524,-0.684626747,-0.716303179,754.4156364
4,0.009379233,0.009379233,0.009379233,0.009379233,0.009379233,0.009379233,4.949811304
5,0.004833086,0.004833086,0.004833086,0.004833086,0.004833086,0.004833086,4.963352671
6,0.007134709,0.007134709,0.007134709,0.007134709,0.007134709,0.007134709,4.953997576
7,-0.02809181,-0.02809181,-0.02809181,-0.02809181,-0.02809181,-0.02809181,5.701918766
8,-0.021450025,-0.021450025,-0.021450025,-0.021450025,-0.021450025,-0.021450025,5.456827636
9,-0.379492777,-0.379492777,-0.379492777,-0.379492777,-0.379492777,-0.379492777,146.5450767
10,0.002282093,0.002282093,0.002282093,0.002282093,0.002282093,0.002282093,4.979797209
11,-0.501979132,-0.501979132,-0.501979132,-0.501979132,-0.501979132,-0.501979132,295.5091925
12,0.010874856,0.010874856,0.010874856,0.010874856,0.010874856,0.010874856,4.949694905
13,0.01318433,0.01318433,0.01318433,0.01318433,0.01318433,0.01318433,4.953662433
14,0.073064912,0.073064912,0.073064912,0.073064912,0.073064912,0.073064912,6.589477991
15,0.093631598,0.093631598,0.093631598,0.093631598,0.093631598,0.093631598,7.70852891
16,0.011665401,0.011665401,0.011665401,0.011665401,0.011665401,0.011665401,4.950489001
17,0.001179992,0.001179992,0.001179992,0.001179992,0.001179992,0.001179992,4.988901588
18,-0.272857341,-0.272857341,-0.272857341,-0.272857341,-0.258984335,-0.272857341,66.96095773
19,0.010370557,0.010370557,0.010370557,0.010370557,0.010370557,0.010370557,4.949496845
